Brand,Model,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Mileage,Engine,Price
Maruti,Wagon R,Mumbai,2010,72000,CNG,First,26.6 km/kg,998 CC,1.75
Hyundai,Creta 1.6,Pune,2015,41000,Diesel,First,19.67 kmpl,1582 CC,12.5
Honda,Jazz V,Chennai,2011,46000,Petrol,First,18.2 kmpl,1199 CC,4.5
Maruti,Ertiga VDI,Chennai,2012,87000,Diesel,First,20.77 kmpl,1248 CC,6.0
Audi,A4 New,Coimbatore,2013,40670,Diesel,Second,15.2 kmpl,1968 CC,17.74
Hyundai,EON LPG,Hyderabad,2012,75000,LPG,First,21.1 km/kg,814 CC,2.35
Nissan,Micra Diesel,Jaipur,2013,86999,Diesel,First,23.08 kmpl,1461 CC,3.5
Toyota,Innova Crysta,Mumbai,2016,36000,Diesel,First,11.36 kmpl,2755 CC,17.5
Volkswagen,Vento Diesel,Pune,2013,64430,Diesel,First,20.54 kmpl,1598 CC,5.2
Tata,Indica Vista,Chennai,2012,65932,Diesel,Second,22.3 kmpl,1248 CC,1.95
Maruti,Ciaz Zeta,Kochi,2018,25692,Petrol,First,21.56 kmpl,1462 CC,9.95
Honda,City 1.5,Kolkata,2012,60000,Petrol,First,16.8 kmpl,1497 CC,4.49
Maruti,Swift VDI,Jaipur,2015,64424,Diesel,First,25.2 kmpl,1248 CC,5.6
Land,Rover Range,Delhi,2014,72000,Diesel,First,12.7 kmpl,2179 CC,27.0
Land,Rover Freelander,Pune,2012,85000,Diesel,Second,0.0 kmpl,2179 CC,17.5
Mitsubishi,Pajero Sport,Delhi,2014,110000,Diesel,First,13.5 kmpl,2477 CC,15.0
Honda,Amaze S,Kochi,2016,58950,Diesel,First,25.8 kmpl,1498 CC,5.4
Maruti,Swift DDiS,Jaipur,2017,25000,Diesel,First,28.4 kmpl,1248 CC,5.99
Renault,Duster 85PS,Kochi,2014,77469,Diesel,First,20.45 kmpl,1461 CC,6.34
Mercedes-Benz,New C-Class,Bangalore,2014,78500,Diesel,First,14.84 kmpl,2143 CC,28.0
BMW,3 Series,Kochi,2014,32982,Diesel,First,22.69 kmpl,1995 CC,18.55
Maruti,S Cross,Bangalore,2015,55392,Diesel,Second,23.65 kmpl,1248 CC,8.25
Audi,A6 2011-2015,Mumbai,2015,55985,Petrol,First,13.53 kmpl,1984 CC,23.5
Hyundai,i20 1.2,Kolkata,2010,45807,Petrol,First,18.5 kmpl,1197 CC,1.87
Volkswagen,Vento Petrol,Kolkata,2010,33000,Petrol,First,14.4 kmpl,1598 CC,2.85
Honda,City Corporate,Mumbai,2012,51920,Petrol,First,16.8 kmpl,1497 CC,4.25
Nissan,Micra Diesel,Hyderabad,2012,54000,Diesel,First,23.08 kmpl,1461 CC,4.25
Maruti,Alto K10,Hyderabad,2013,54000,Petrol,Second,20.92 kmpl,998 CC,2.75
Honda,WRV i-VTEC,Kochi,2018,37430,Petrol,First,17.5 kmpl,1199 CC,9.9
Toyota,Innova 2.5,Mumbai,2007,262000,Diesel,Fourth & Above,12.8 kmpl,2494 CC,4.0
Renault,Duster 110PS,Bangalore,2013,62000,Diesel,First,19.01 kmpl,1461 CC,7.75
Toyota,Corolla Altis,Delhi,2012,87615,Petrol,First,14.53 kmpl,1798 CC,6.75
Mahindra,Ssangyong Rexton,Bangalore,2013,72000,Diesel,Second,11.18 kmpl,2696 CC,12.5
Audi,A6 2.7,Kolkata,2010,35000,Diesel,First,12.4 kmpl,2698 CC,11.5
Volkswagen,Vento 1.6,Coimbatore,2014,55431,Petrol,Second,16.09 kmpl,1598 CC,6.98
Maruti,Wagon R,Jaipur,2009,83816,Petrol,Second,14.0 kmpl,1061 CC,1.85
Maruti,Vitara Brezza,Kochi,2018,50075,Diesel,First,24.3 kmpl,1248 CC,8.63
Mahindra,KUV 100,Delhi,2017,52000,Petrol,First,18.15 kmpl,1198 CC,4.85
Mercedes-Benz,M-Class ML,Pune,2013,85000,Diesel,First,11.74 kmpl,2987 CC,28.0
Volkswagen,Polo Diesel,Chennai,2013,62000,Diesel,First,22.07 kmpl,1199 CC,5.0
Maruti,Alto LXi,Delhi,2008,90000,Petrol,Second,19.7 kmpl,796 CC,1.25
Tata,Nano LX,Kochi,2014,19698,Petrol,First,25.4 kmpl,624 CC,1.53
Mahindra,KUV 100,Coimbatore,2017,22033,Diesel,First,25.32 kmpl,1198 CC,5.58
Hyundai,i20 Magna,Kochi,2014,35487,Petrol,First,18.5 kmpl,1197 CC,4.74
Hyundai,Elantra 2.0,Bangalore,2014,46374,Petrol,First,14.62 kmpl,1999 CC,8.85
Toyota,Corolla Altis,Mumbai,2016,52001,Petrol,First,14.28 kmpl,1798 CC,10.11
Hyundai,Elantra CRDi,Ahmedabad,2008,58005,Diesel,Second,14.9 kmpl,1991 CC,4.25
Toyota,Innova Crysta,Bangalore,2012,70704,Petrol,First,11.25 kmpl,2694 CC,10.95
Hyundai,Xcent 1.1,Jaipur,2014,75000,Diesel,First,24.4 kmpl,1120 CC,3.85
Mahindra,Thar CRDe,Jaipur,2012,75800,Diesel,Second,16.55 kmpl,2498 CC,5.5
Audi,A4 2.0,Kochi,2015,13648,Diesel,First,17.11 kmpl,1968 CC,21.43
Maruti,Swift LDI,Delhi,2014,52000,Diesel,First,22.9 kmpl,1248 CC,4.25
Maruti,Swift Ldi,Kolkata,2014,53000,Diesel,First,17.8 kmpl,1248 CC,3.3
Maruti,Swift VDI,Delhi,2013,65650,Diesel,First,28.4 kmpl,1248 CC,3.85
Hyundai,Grand i10,Chennai,2015,54000,Petrol,Third,18.9 kmpl,1197 CC,3.6
Volkswagen,Vento 2013-2015,Kolkata,2015,39000,Petrol,First,15.04 kmpl,1598 CC,3.99
Renault,KWID RXT,Kochi,2017,16542,Petrol,First,25.17 kmpl,799 CC,3.3
Hyundai,i10 Asta,Kolkata,2010,32000,Petrol,First,20.36 kmpl,1197 CC,2.07
Nissan,X-Trail SLX,Hyderabad,2010,121812,Diesel,First,13.29 kmpl,1995 CC,7.75
Maruti,Zen Estilo,Hyderabad,2010,39300,Petrol,First,18.2 kmpl,998 CC,2.25
Toyota,Innova Crysta,Mumbai,2017,22000,Diesel,First,13.68 kmpl,2393 CC,16.5
Ford,Figo Diesel,Bangalore,2010,72000,Diesel,First,20.0 kmpl,1399 CC,2.75
Mercedes-Benz,New C-Class,Delhi,2015,58000,Petrol,First,11.74 kmpl,1796 CC,26.7
Mercedes-Benz,New C-Class,Pune,2011,65000,Diesel,Second,15.8 kmpl,2148 CC,10.0
Tata,Indica V2,Chennai,2016,178000,Diesel,First,25.0 kmpl,1396 CC,2.5
Audi,A4 2.0,Jaipur,2012,65664,Diesel,First,16.55 kmpl,1968 CC,13.5
Honda,City ZX,Mumbai,2007,63000,Petrol,Second,16.4 kmpl,1497 CC,1.85
Mercedes-Benz,C-Class Progressive,Coimbatore,2019,15369,Diesel,First,0.0 kmpl,1950 CC,35.67
Maruti,Ertiga SHVS,Pune,2016,63000,Diesel,First,24.52 kmpl,1248 CC,8.15
Hyundai,Creta 1.4,Mumbai,2018,13000,Diesel,First,22.1 kmpl,1396 CC,10.5
Porsche,Cayenne 2009-2014,Mumbai,2008,73000,Petrol,First,8.5 kmpl,4806 CC,14.5
Mahindra,XUV500 W8,Mumbai,2015,55729,Diesel,First,15.1 kmpl,2179 CC,9.65
Hyundai,i10 Sportz,Kochi,2012,45178,Petrol,First,16.95 kmpl,1197 CC,3.48
Nissan,Terrano XV,Kochi,2015,56066,Diesel,First,19.64 kmpl,1461 CC,6.92
Honda,Brio VX,Coimbatore,2016,37300,Petrol,Second,16.5 kmpl,1198 CC,6.46
Audi,A6 2.0,Delhi,2014,56000,Diesel,Second,18.53 kmpl,1968 CC,29.5
Ford,Fiesta 1.4,Jaipur,2008,111111,Diesel,First,17.8 kmpl,1399 CC,2.0
Toyota,Innova 2.0,Chennai,2006,230000,Petrol,Third,12.4 kmpl,1998 CC,4.5
Toyota,Innova 2.5,Hyderabad,2012,104000,Diesel,First,12.8 kmpl,2494 CC,11.75
Hyundai,Santro Xing,Hyderabad,2005,87591,Petrol,First,0.0 kmpl,1086 CC,1.3
Maruti,Swift VDI,Jaipur,2012,95100,Diesel,First,22.9 kmpl,1248 CC,3.75
Tata,Zest Revotron,Pune,2017,70000,Petrol,First,17.57 kmpl,1193 CC,4.5
Honda,Amaze SX,Kochi,2016,54944,Petrol,First,18.0 kmpl,1198 CC,4.82
Ford,Figo Diesel,Hyderabad,2012,70337,Diesel,First,20.0 kmpl,1399 CC,2.8
Maruti,Ritz VDi,Jaipur,2013,99638,Diesel,First,23.2 kmpl,1248 CC,3.11
Honda,City i,Delhi,2009,52000,Petrol,First,17.8 kmpl,1497 CC,3.25
BMW,5 Series,Delhi,2011,75000,Diesel,Second,16.73 kmpl,1995 CC,13.9
Hyundai,i10 Sportz,Pune,2009,95980,Petrol,First,20.36 kmpl,1197 CC,2.25
Hyundai,Grand i10,Bangalore,2016,16000,Petrol,First,18.9 kmpl,1197 CC,5.75
Hyundai,Santro Xing,Hyderabad,2007,73745,Petrol,First,17.0 kmpl,1086 CC,2.1
Honda,Amaze SX,Mumbai,2016,18949,Petrol,First,17.8 kmpl,1198 CC,5.0
Toyota,Fortuner 4x2,Delhi,2014,107000,Diesel,First,13.0 kmpl,2982 CC,16.5
Audi,A6 2011-2015,Coimbatore,2018,48367,Diesel,First,17.68 kmpl,1968 CC,39.58
Ford,Ecosport 1.5,Delhi,2013,57000,Diesel,First,22.7 kmpl,1498 CC,5.5
Mahindra,XUV500 W8,Delhi,2014,58000,Diesel,First,15.1 kmpl,2179 CC,8.1
Honda,Amaze SX,Kolkata,2015,30000,Diesel,First,25.8 kmpl,1498 CC,3.5
Volkswagen,Polo Diesel,Kolkata,2013,34212,Diesel,First,22.07 kmpl,1199 CC,2.79
Hyundai,Verna Transform,Ahmedabad,2010,70002,Diesel,First,16.2 kmpl,1493 CC,3.45
